State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price,Commodity_Code,Date,Arrival Quantity
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,22/12/2015,4150,4250,4200,15,2015-12-22,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,22/12/2015,4250,4400,4350,15,2015-12-22,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,22/12/2015,4150,4270,4150,15,2015-12-22,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,23/12/2015,4300,4500,4400,15,2015-12-23,100
Maharashtra,Jalana,Jalna(Badnapur),Cotton,Other,FAQ,23/12/2015,4100,4100,4100,15,2015-12-23,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,23/12/2015,4150,4350,4200,15,2015-12-23,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,23/12/2015,4175,4400,4350,15,2015-12-23,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,24/12/2015,4400,4600,4550,15,2015-12-24,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,24/12/2015,4200,4400,4325,15,2015-12-24,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,24/12/2015,4200,4350,4300,15,2015-12-24,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,25/12/2015,4180,4370,4280,15,2015-12-25,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,25/12/2015,4200,4400,4350,15,2015-12-25,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,25/12/2015,4400,4600,4500,15,2015-12-25,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,26/12/2015,4200,4500,4400,15,2015-12-26,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,26/12/2015,4400,4600,4500,15,2015-12-26,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,27/12/2015,4400,4500,4450,15,2015-12-27,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,28/12/2015,4250,4450,4300,15,2015-12-28,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,28/12/2015,4250,4525,4475,15,2015-12-28,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,29/12/2015,4475,4650,4600,15,2015-12-29,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,29/12/2015,4420,4625,4550,15,2015-12-29,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,29/12/2015,4260,4425,4300,15,2015-12-29,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,30/12/2015,4500,4650,4600,15,2015-12-30,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,30/12/2015,4400,4600,4500,15,2015-12-30,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,30/12/2015,4400,4800,4611,15,2015-12-30,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,30/12/2015,4250,4300,4250,15,2015-12-30,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,30/12/2015,4300,4600,4400,15,2015-12-30,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,31/12/2015,4550,4650,4600,15,2015-12-31,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,31/12/2015,4250,4600,4500,15,2015-12-31,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,31/12/2015,4400,4600,4500,15,2015-12-31,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,01/01/2016,4500,4600,4575,15,2016-01-01,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,01/01/2016,4300,4550,4450,15,2016-01-01,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,01/01/2016,4400,4600,4600,15,2016-01-01,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,02/01/2016,4500,4600,4575,15,2016-01-02,100
